Tag,Sheet,Simple name,Log Status,Description,SQL type,Units,Included,Verified 2014/03/18,Added 2014/04/18
PT_924015,9010,pressure_gasifier_furnace,0,Gasifier furnace box pressure,DOUBLE,psig,X,,X
TE_922022,9008,temp_ako_relief,0,Ash KO relief valve line temperature,DOUBLE,C,X,X,
TE_924016,9010,temp_gasifier_refractory_3,0,Gasifier refractory temp 3 (Bloom),,C,,,
TE_932016,9008,temp_quench_exit_relief,0,Quench exit relief valve line temperature,DOUBLE,C,X,X,
TE_983301,9006,temp_superheater_2_shell,0,Superheater stage 2 shell temperature,DOUBLE,C,X,X,
TE_983302,9006,temp_superheater_2_element,0,Superheater stage 2 element temperature,DOUBLE,C,X,X,
TE_983303,9006,temp_superheater_1_shell,0,Superheater stage 1 shell temperature,DOUBLE,C,X,X,
TE_983304,9006,temp_superheater_1_element,0,Superheater stage 1 element temperature,DOUBLE,C,X,X,
TE_983305,9006,temp_superheater_interstage,0,Superheater interstage temperature,DOUBLE,C,X,X,
TE_983098,9006,temp_superheater_relief_1,0,Superheater relief valve temperature,DOUBLE,C,X,,X
TE_983099,9006,temp_superheater_relief_2,0,Superheater relief valve temperature,DOUBLE,C,X,,X
TI_323,9010,temp_gasifier_stack_inlet,0,Gasifier stack inlet temperature,DOUBLE,C,X,X,
TI_324A,9010,temp_gasifier_refractory_2,0,Gasifier refractory temp 2 (Bloom),DOUBLE,C,X,X,
TI_324B,9010,temp_gasifier_refactory_1,0,Gasifier refractory temp 1 (Bloom),DOUBLE,C,X,X,
TI_922020,9007,temp_biomass_inlet_skin,0,Biomass inlet skin temperature,DOUBLE,C,X,X,
TI_924001,9007,temp_upper_bucket_seal_skin,0,Upper bucket seal skin temperature,DOUBLE,C,X,X,
TI_924002A,9007,temp_lower_bucket_seal_skin_a,0,Lower bucket seal skin temperature A,DOUBLE,C,X,,X
TI_924002B,9007,temp_lower_bucket_seal_skin_b,0,Lower bucket seal skin temperature B,DOUBLE,C,X,,X
TI_924002C,9007,temp_lower_bucket_seal_skin_c,0,Lower bucket seal skin temperature C,DOUBLE,C,X,,X
TI_924002D,9007,temp_lower_bucket_seal_skin_d,0,Lower bucket seal skin temperature D,DOUBLE,C,X,,X
TI_924003,9007,temp_gasifier_exit,0,Gasifier exit temperature,DOUBLE,C,X,X,
TI_924004,9007,temp_expansion_joint_skin,0,Expansion joint skin temperature,DOUBLE,C,X,X,
TI_924012,9007,temp_skin_tube_top,0,Gasifier top tube temperature,DOUBLE,C,X,X,
TI_924013,9007,temp_skin_tube_middle,0,Gasifier middle tube temperature,DOUBLE,C,X,X,
TI_924014,9007,temp_skin_tube_bottom,0,Gasifier bottom tube temperature,DOUBLE,C,X,X,
TI_924032,9007,temp_upper_bucket_seal_containment_skin,0,Upper bucket seal containment skin temperature,DOUBLE,C,X,X,
TI_924034,9007,temp_lower_bucket_seal_containment_skin,0,Lower bucket seal containment skin temperature,DOUBLE,C,X,X,
TI_924036,9007,temp_gasifier_exit_spool_skin,0,Gasifier exit spool skin temperature,DOUBLE,C,X,X,
TI_924101,9010,temp_gasifier_stack_outlet,0,Gasifier stack outlet temperature,DOUBLE,C,X,X,
TI_924503,9007,temp_tar_cooler_skin,0,Tar cooler skin temperature,DOUBLE,C,X,X,
TI_932001,9008,temp_quench_skin,0,Quench vessel skin temperature,DOUBLE,C,X,X,
TI_932003,9008,temp_quench_lower,0,Quench vessel lower temperature,DOUBLE,C,X,X,
TI_932007A,9008,temp_quench_exit,0,Quench exit temperature,DOUBLE,C,X,X,
TI_932007B,9008,temp_quench_exit_redundant,0,Quench exit temperature (redundant),DOUBLE,C,X,X,
TI_932011,9008,temp_primary_quench_inlet,0,Primary quench inlet temperature,DOUBLE,C,X,X,
TI_932017,9008,temp_quench_pressure_relief_exit,0,Quench pressure relief exit temperature,DOUBLE,C,X,X,
TI_932018,9008,temp_quench_exit_valve_skin,0,Quench vessel exit Spheri-valve skin temperature,DOUBLE,C,X,X,
TI_932023,9008,temp_ako_outlet_valve_skin,0,Ash KO outlet Spheri-valve skin temperature,DOUBLE,C,X,X,
TI_932035,9009,temp_coriolis_before,0,Pre-coriolis temperature,DOUBLE,C,X,X,
TI_932051,9007,temp_tar_filter_exit,0,Tar ceramic filter exit temperature,DOUBLE,C,X,X,
TI_932056,9016,temp_ms_inlet,0,MS inlet temperature,DOUBLE,C,X,X,
TI_932101,9008,temp_ako_gas,0,Ash KO gas temperature,DOUBLE,C,X,X,
TI_932151,9015,temp_tar_probe_vent,0,Tar probe vent temperature,DOUBLE,C,X,X,
TI_932152,9015,temp_gc_vent,0,GC vent temperature,DOUBLE,C,X,X,
TI_932501,9008,temp_primary_quench_water,0,Primary quench water tank exit temperature,DOUBLE,C,X,X,
TI_932502,9008,temp_backup_quench_return,0,Backup quench return temperature,DOUBLE,C,X,X,
